variable,.variableTilte,.dataSet,.variable_Brick,typ,hs,qty,.comment
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,libo,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,gabo,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,sobo,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,dihe,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,biom,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,reel,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,ehp1,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,libo,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,gabo,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,sobo,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,dihe,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,biom,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,reel,dwel,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,ehp1,dwel,
nbrlprpet,Stock of dwellings with oil space heating,households,v_stock,SFH,libo,dwel,
nbrlprpet,Stock of dwellings with oil space heating,households,v_stock,MFH,libo,dwel,
nbrlprgaz,Stock of dwellings with gas space heating,households,v_stock,SFH,gabo,dwel,
nbrlprgaz,Stock of dwellings with gas space heating,households,v_stock,MFH,gabo,dwel,
nbrlprcms,Stock of dwellings with coallignitepeat space heating,households,v_stock,SFH,sobo,dwel,
nbrlprcms,Stock of dwellings with coallignitepeat space heating,households,v_stock,MFH,sobo,dwel,
nbrlprvap,Stock of dwellings with district heating space heating,households,v_stock,SFH,dihe,dwel,
nbrlprvap,Stock of dwellings with district heating space heating,households,v_stock,MFH,dihe,dwel,
nbrlprboi,Stock of dwellings with wood space heating,households,v_stock,SFH,biom,dwel,
nbrlprboi,Stock of dwellings with wood space heating,households,v_stock,MFH,biom,dwel,
nbrlprele,Stock of dwellings with electric space heating,households,v_stock,SFH,reel,dwel,
nbrlprele,Stock of dwellings with electric space heating,households,v_stock,MFH,ehp1,dwel,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,libo,dwel,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,gabo,dwel,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,sobo,dwel,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,dihe,dwel,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,biom,dwel,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,reel,dwel,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,ehp1,dwel,
nbriprpet,Stock of flats with oil space heating,households,v_stock,MFH,libo,dwel,
nbriprgaz,Stock of flats with gas space heating,households,v_stock,MFH,gabo,dwel,
nbriprcms,Stock of flats with coallignitepeat space heating,households,v_stock,MFH,sobo,dwel,
nbriprvap,Stock of flats with district heating space heating,households,v_stock,MFH,dihe,dwel,
nbriprboi,Stock of flats with wood space heating,households,v_stock,MFH,biom,dwel,
nbriprele,Stock of flats with electric space heating,households,v_stock,MFH,reel,dwel,
nbriprele,Stock of flats with electric space heating,households,v_stock,MFH,ehp1,dwel,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,libo,dwel,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,gabo,dwel,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,sobo,dwel,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,dihe,dwel,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,biom,dwel,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,reel,dwel,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,ehp1,dwel,
nbrmprpet,Stock of houses with oil space heating,households,v_stock,SFH,libo,dwel,
nbrmprgaz,Stock of houses with gas space heating,households,v_stock,SFH,gabo,dwel,
nbrmprcms,Stock of houses with coallignitepeat space heating,households,v_stock,SFH,sobo,dwel,
nbrmprvap,Stock of houses with district heating space heating,households,v_stock,SFH,dihe,dwel,
nbrmprboi,Stock of houses with wood space heating,households,v_stock,SFH,biom,dwel,
nbrmprele,Stock of houses with electric space heating,households,v_stock,SFH,reel,dwel,
nbrmprele,Stock of houses with electric space heating,households,v_stock,SFH,ehp1,dwel,
surter,Floor area of services,services,v_stock,Com,libo,area,
surter,Floor area of services,services,v_stock,Com,gabo,area,
surter,Floor area of services,services,v_stock,Com,sobo,area,
surter,Floor area of services,services,v_stock,Com,dihe,area,
surter,Floor area of services,services,v_stock,Com,biom,area,
surter,Floor area of services,services,v_stock,Com,reel,area,
surter,Floor area of services,services,v_stock,Com,ehp1,area,
