region_target,region,region_evolution
OAS,ASEAN,Other non-OECD
OCD,OECD,Other OECD
NCD,NonOECD,Other non-OECD
CHN,China,China
RUS,Russia,Other OECD
IND,India,India and other dev. Asia
JPN,Japan,Other OECD
MIE,Middle East,India and other dev. Asia
AFR,Africa,India and other dev. Asia
USA,United States,United States
AUT,AUT,AUT
BEL,BEL,BEL
BGR,BGR,BGR
CYP,CYP,CYP
CZE,CZE,CZE
DEU,DEU,DEU
DNK,DNK,DNK
ESP,ESP,ESP
EST,EST,EST
FIN,FIN,FIN
FRA,FRA,FRA
GBR,GBR,GBR
GRC,GRC,GRC
HRV,HRV,HRV
HUN,HUN,HUN
IRL,IRL,IRL
ITA,ITA,ITA
LTU,LTU,LTU
LUX,LUX,LUX
LVA,LVA,LVA
MLT,MLT,MLT
NLD,NLD,NLD
POL,POL,POL
PRT,PRT,PRT
ROU,ROU,ROU
SVK,SVK,SVK
SVN,SVN,SVN
SWE,SWE,SWE
BRA,Brazil,Other non-OECD
MEX,Mexico,Other OECD
ZAF,South Africa,Other non-OECD
