variable,considerSales,technologyBRICK,comment
Sales|Gas boilers|Wall-hung,TRUE,gabo,
Sales|Gas boilers|Wall-hung|Conventional,FALSE,gabo,
Sales|Gas boilers|Wall-hung|Condensing,FALSE,gabo,
Sales|Gas boilers|Floor standing,TRUE,gabo,
Sales|Gas boilers|Floor standing|Condensing,FALSE,gabo,
Sales|Gas boilers|Floor standing|Conventional,FALSE,gabo,
Sales|Gas boilers|over 50 kW,FALSE,gabo,
Sales|Gas boilers|over 50 kW|Condensing,FALSE,gabo,
Sales|Gas boilers|over 50 kW|Conventional,FALSE,gabo,
Sales|Oil boilers|Floor standing,TRUE,libo
Sales|Oil boilers|Floor standing|Condensing,FALSE,libo,
Sales|Oil boilers|Floor standing|Conventional,FALSE,libo,,
Sales|Solid fuel boilers,TRUE,sobo_biom,
Sales|Heat pumps,TRUE,ehp1,
Sales|Heat pumps|Ground/water (heating only),FALSE,ehp1,
Sales|Heat pumps|Air/water (heating only),FALSE,ehp1,
Sales|Heat pumps|Air/water (hot water),FALSE,ehp1,
Sales|Electrical heating boilers,TRUE,reel,
Sales|Solar collectors,FALSE,,
Sales|Solar collectors|Glassless,FALSE,,
Sales|Solar collectors|Flat,FALSE,,
Sales|Solar collectors|Vacuum,FALSE,,
Stock|Solar collectors,FALSE,,
Stock|Solar collectors|Glassless,FALSE,,
Stock|Solar collectors|Flat,FALSE,,
Stock|Solar collectors|Vacuum,FALSE,,
Sales|Gas water heaters,FALSE,,
